bus_id,placa,linha,position,data,speed,sentido,trajeto,hodometro,direcao
901008,,22,"-23.006676, -43.312581",1690408824000,12.8,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],22999.2,245
901011,RIV8A74,40,"-23.000924, -43.365143",1690419156000,0,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],23717.1,121
901018,,51,"-23.000075, -43.356425",1690230262000,48.3,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2502.1,95
901012,,52,"-22.96143, -43.392166",1690408758000,53.9,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],21443,215
901014,,52,"-23.000855, -43.365888",1690417987000,0,volta,52 - SENTIDO V. MILITAR (PARADOR) [VOLTA],35826.7, 
901007,,22,"-22.965021, -43.39128",1690405184000,0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21891.7,140
901009,,40,"-23.00072, -43.365827",1690415695000,0,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],21080.9, 
901013,,22,"-22.965524, -43.391587",1690420935000,0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],31785.2,158
901010,RJM8G30,22,"-23.000875, -43.368166",1690421129000,18.5,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],23056.7,6
901015,,51,"-23.000708, -43.366316",1690416254000,0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],14162.3,48
901047,,0,"-22.964836, -43.391921",1690407651000,0,,,45440.7, 
901017,,22,"-23.000724, -43.365865",1690414162000,0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],25283.1,46
901063,,51,"-22.965744, -43.391259",1690420670000,0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],48951.1,153
901006,RJA9F56,22,"-23.001158, -43.329358",1690408785000,9.9,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],19586.9,296
901005,RJB8E53,22,"-23.00014, -43.352075",1690421131000,8.7,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21914.5,95
901004,RJQ8J80,22,"-23.005933, -43.317492",1690409095000,58.6,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],21644.7,294
902095,,35,"-22.841312, -43.253516",1690416685000,0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],7511.6, 
30504,,25,"-22.920704, -43.607959",1690421130000,0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],53955.4, 
47031,KYW5240,12,"-23.0002, -43.366967",1690419756000,23.4,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],51179.5,107
30533,KWO8120,0,"-22.920252, -43.607935",1690420411000,0,,,52733.1, 
47027,KRR2119,20,"-22.933893, -43.669347",1689714615000,53.7,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],1004.1,309
86840,KOS9769,13,"-22.919551, -43.607877",1682053295000,0,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],778.8, 
30538,KXE7719,13,"-23.000673, -43.365853",1690421130000,0,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],56255.6, 
13412,KPY9734,0,"-22.965162, -43.391705",1690417021000,0,,,44901, 
50309,KPN6B05,25,"-23.019753, -43.50323",1690409075000,40.1,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],20263.2,288
12702,KXB8152,25,"-22.919625, -43.608713",1688523108000,0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],27817.4, 
12706,KXB8938,10,"-22.920521, -43.607432",1680260524000,0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),4060.2, 
47025,KXE8652,13,"-22.919881, -43.607336",1688750329000,0,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],38341.5, 
30532,KYL8599,25,"-22.969645, -43.627401",1690420904000,53.9,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],42110,257
13423,LSI5976,0,"-22.920234, -43.607829",1690418379000,0,,,41420.6,173
13403,LTF5447,10,"-22.969907, -43.616552",1690421126000,60.1,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],53637.7,135
90002,LMB2D92,20,"-23.000731, -43.417356",1690421129000,59,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],56199.1,256
47030,LSQ5263,18,"-22.919971, -43.607289",1690418665000,0.3,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],54045.3,274
